,M1,M2,M3,M4,M5
Sampling1,86.02150537634408,87.09677419354838,93.54838709677419,65.59139784946237,66.66666666666666
Sampling2,92.47311827956989,89.24731182795699,96.7741935483871,74.19354838709677,80.64516129032258
Sampling3,85.21739130434783,91.30434782608695,98.26086956521739,64.34782608695652,79.13043478260869
Sampling4,89.24731182795699,91.39784946236558,92.47311827956989,72.04301075268818,77.41935483870968
Sampling5,93.54838709677419,95.6989247311828,100.0,73.11827956989248,77.41935483870968
